time,temperature,humidity,pressure,wind_speed,weather_code
2025-12-07 00:00:00,23.0,95,1012.7,6.1,3
2025-12-07 01:00:00,22.9,94,1013.3,6.1,3
2025-12-07 02:00:00,23.3,94,1013.9,6.5,3
2025-12-07 03:00:00,24.4,90,1014.8,8.3,3
2025-12-07 04:00:00,25.7,84,1015.0,11.3,3
2025-12-07 05:00:00,26.6,77,1014.9,12.9,3
2025-12-07 06:00:00,27.4,72,1013.9,12.1,3
2025-12-07 07:00:00,27.7,70,1013.3,12.2,3
2025-12-07 08:00:00,27.4,69,1012.4,12.6,3
2025-12-07 09:00:00,27.1,69,1012.1,12.2,3
2025-12-07 10:00:00,26.7,69,1011.8,11.8,3
2025-12-07 11:00:00,25.9,73,1012.0,10.7,3
2025-12-07 12:00:00,25.4,77,1012.6,8.0,3
2025-12-07 13:00:00,24.2,83,1012.7,6.2,3
2025-12-07 14:00:00,23.5,87,1013.7,6.0,3
2025-12-07 15:00:00,23.1,90,1014.0,5.6,2
2025-12-07 16:00:00,22.7,91,1014.4,4.7,1
2025-12-07 17:00:00,22.6,91,1014.0,3.7,1
2025-12-07 18:00:00,22.3,92,1013.7,3.6,1
2025-12-07 19:00:00,22.1,93,1013.2,3.8,1
2025-12-07 20:00:00,21.9,94,1012.7,4.1,2
2025-12-07 21:00:00,21.8,95,1012.0,4.1,2
2025-12-07 22:00:00,21.7,94,1011.8,4.1,2
2025-12-07 23:00:00,21.6,94,1011.9,4.0,2
2025-12-08 00:00:00,21.3,94,1012.3,3.7,3
2025-12-08 01:00:00,21.1,93,1013.0,3.8,3
2025-12-08 02:00:00,21.9,93,1013.9,4.2,3
2025-12-08 03:00:00,23.5,89,1014.7,6.4,3
2025-12-08 04:00:00,25.1,83,1015.0,8.7,3
2025-12-08 05:00:00,26.4,74,1014.6,11.2,3
2025-12-08 06:00:00,27.3,69,1014.0,12.1,3
2025-12-08 07:00:00,27.7,66,1013.0,12.4,3
2025-12-08 08:00:00,27.5,66,1011.7,12.7,2
2025-12-08 09:00:00,27.4,65,1011.1,12.3,2
2025-12-08 10:00:00,26.9,66,1011.0,11.8,2
2025-12-08 11:00:00,26.1,69,1011.5,10.3,2
2025-12-08 12:00:00,24.9,75,1012.1,7.1,2
2025-12-08 13:00:00,23.7,84,1012.7,5.6,3
2025-12-08 14:00:00,22.9,88,1013.4,5.7,3
2025-12-08 15:00:00,22.5,89,1013.5,5.8,3
2025-12-08 16:00:00,22.0,90,1013.5,5.4,3
2025-12-08 17:00:00,21.6,92,1013.4,5.9,3
2025-12-08 18:00:00,21.6,91,1013.0,6.2,3
2025-12-08 19:00:00,21.6,91,1012.6,5.7,3
2025-12-08 20:00:00,21.4,90,1011.7,5.5,3
2025-12-08 21:00:00,21.1,92,1010.9,5.1,3
2025-12-08 22:00:00,20.6,93,1010.5,5.2,3
2025-12-08 23:00:00,20.4,94,1010.5,5.2,3
2025-12-09 00:00:00,20.4,93,1010.9,5.2,3
2025-12-09 01:00:00,20.4,93,1011.8,4.0,3
2025-12-09 02:00:00,21.3,93,1012.8,5.1,3
2025-12-09 03:00:00,22.9,90,1013.9,6.5,2
2025-12-09 04:00:00,24.5,84,1013.9,10.4,2
2025-12-09 05:00:00,26.1,76,1013.7,11.8,2
2025-12-09 06:00:00,27.2,68,1012.8,14.2,2
2025-12-09 07:00:00,27.9,64,1011.7,13.9,1
2025-12-09 08:00:00,27.9,65,1010.7,14.2,2
2025-12-09 09:00:00,27.5,66,1010.1,13.1,3
2025-12-09 10:00:00,26.8,65,1010.2,12.3,3
2025-12-09 11:00:00,25.9,69,1010.6,10.5,3
2025-12-09 12:00:00,24.7,76,1011.3,7.4,3
2025-12-09 13:00:00,23.7,82,1012.1,6.0,3
2025-12-09 14:00:00,23.1,86,1013.0,6.2,3
2025-12-09 15:00:00,22.7,87,1013.5,6.1,3
2025-12-09 16:00:00,22.5,89,1013.7,5.4,3
2025-12-09 17:00:00,22.3,90,1013.6,5.4,3
2025-12-09 18:00:00,22.2,91,1013.2,5.2,3
2025-12-09 19:00:00,22.0,91,1012.8,5.7,3
2025-12-09 20:00:00,21.9,91,1012.0,7.4,3
2025-12-09 21:00:00,21.8,91,1011.3,8.0,3
2025-12-09 22:00:00,21.7,91,1011.1,7.8,3
2025-12-09 23:00:00,21.6,91,1011.2,6.9,3
2025-12-10 00:00:00,21.5,90,1011.8,6.5,3
2025-12-10 01:00:00,21.5,91,1012.6,5.8,3
2025-12-10 02:00:00,21.8,92,1013.5,6.1,3
2025-12-10 03:00:00,22.9,89,1014.3,7.9,2
2025-12-10 04:00:00,24.2,86,1014.3,10.5,3
2025-12-10 05:00:00,24.9,83,1013.9,11.4,3
2025-12-10 06:00:00,25.6,79,1013.0,12.1,3
2025-12-10 07:00:00,26.4,73,1011.9,13.5,3
2025-12-10 08:00:00,26.8,69,1010.7,14.7,3
2025-12-10 09:00:00,26.9,68,1010.1,14.3,2
2025-12-10 10:00:00,26.6,68,1010.0,14.2,2
2025-12-10 11:00:00,25.9,71,1010.3,12.9,2
2025-12-10 12:00:00,24.9,76,1010.8,10.2,2
2025-12-10 13:00:00,23.8,83,1011.4,7.1,2
2025-12-10 14:00:00,23.1,87,1012.2,6.1,2
2025-12-10 15:00:00,22.7,88,1012.7,6.1,3
2025-12-10 16:00:00,22.4,90,1012.9,5.8,3
2025-12-10 17:00:00,22.1,91,1012.8,5.9,3
2025-12-10 18:00:00,22.0,92,1012.4,6.7,2
2025-12-10 19:00:00,21.8,92,1011.9,6.7,2
2025-12-10 20:00:00,21.7,91,1011.2,7.0,2
2025-12-10 21:00:00,21.5,91,1010.7,6.9,2
2025-12-10 22:00:00,21.2,91,1010.6,7.3,2
2025-12-10 23:00:00,20.8,91,1010.8,7.7,2
